	longitude	latitude	depth	mag	years	months	days	hours	minutes	seconds	author
327	43.4900	42.6300	28	3.6	2006	05	20	21	49	20	MOS
328	43.7110	42.6640	22	3.7	2006	05	20	21	59	47	MOS
329	43.4700	42.5900	23	3.5	2006	05	20	22	01	24	MOS
330	45.0243	42.3817	1	0	2006	05	23	08	33	10	ISC
331	46.0000	43.0980	13	3.9	2006	06	09	00	27	01	MOS
332	45.3400	42.9400	49	3.7	2006	06	12	13	50	08	MOS
333	43.5500	42.5300	3	3.5	2006	06	12	18	58	36	MOS
334	45.2000	42.8000	37	3.5	2006	06	14	00	24	02	MOS
335	43.6500	42.4900	10	3.5	2006	06	15	10	31	26	MOS
336	44.6200	43.1800	9	3.5	2006	06	17	20	46	01	MOS
337	45.7600	43.2600	52	3.7	2006	06	18	21	59	22	MOS
338	44.5940	43.7040	16	4.0	2006	06	19	17	22	22	MOS
339	44.2400	43.1500	12	3.5	2006	06	20	12	03	28	MOS
340	44.3000	43.1900	9	3.5	2006	06	20	12	04	35	MOS
341	42.7300	44.0600	12	3.5	2006	06	20	23	31	26	MOS
342	44.3790	42.6770	4	3.5	2006	06	21	19	33	57	MOS
343	43.5100	42.6400	11	3.5	2006	06	26	18	20	29	MOS
344	45.7200	43.5400	16	3.6	2006	06	26	23	22	02	MOS
345	45.1700	43.2900	19	3.8	2006	06	28	02	01	23	MOS
346	42.7100	43.5700	16	3.5	2006	06	30	20	30	18	MOS
347	44.9567	43.4840	19	3.7	2006	07	02	02	36	52	TIF
348	46.0130	43.1250	8	4.0	2006	07	02	08	51	40	MOS
349	45.3652	42.4328	13	3.7	2006	07	04	22	36	15	TIF
350	43.8453	42.4288	13	4.0	2006	07	06	14	29	40	TIF
351	45.4102	41.2628	9	4.3	2006	07	07	05	01	25	TIF
352	43.7965	42.4457	5	3.6	2006	07	09	20	19	17	TIF
353	43.7930	43.4450	11	3.7	2006	07	10	02	07	44	MOS
354	43.4755	42.5709	12	0	2006	07	11	02	27	57	ISC
355	43.4672	42.5802	11	4.1	2006	07	11	03	30	39	TIF
356	43.4937	42.5885	12	3.6	2006	07	15	05	05	05	TIF
357	43.4570	42.6230	10	3.6	2006	07	15	05	59	18	MOS
358	46.3755	42.7033	12	4.1	2006	07	22	17	49	16	TIF
359	45.8260	43.5650	17	3.9	2006	07	23	01	31	14	MOS
360	45.3950	43.4920	14	4.0	2006	07	23	02	24	44	MOS
361	45.6410	43.1930	17	3.8	2006	07	23	07	16	07	MOS
362	46.0900	42.2600	25	4.0	2006	07	25	14	05	09	MOS
363	44.4180	43.8770	10	3.6	2006	07	27	13	00	20	MOS
364	43.7110	42.6590	16	4.2	2006	07	27	15	39	12	MOS
365	43.8533	41.3572	20	3.8	2006	07	29	09	50	28	TIF
366	43.0220	43.9630	23	3.9	2006	07	29	17	00	11	MOS
367	48.3820	42.0450	19	3.7	2006	04	01	01	32	58	MOS
368	45.3100	43.3100	13	3.5	2006	04	02	10	26	23	MOS
369	43.5100	42.6100	34	3.5	2006	04	02	11	25	35	MOS
370	43.6100	42.5800	20	3.5	2006	04	02	12	57	09	MOS
371	43.4700	42.6100	24	3.5	2006	04	03	09	21	48	MOS
372	40.4300	43.6000	6	4.2	2006	04	04	01	35	43	MOS
373	44.9100	42.5900	19	3.5	2006	04	04	02	26	29	MOS
374	45.5040	42.3730	52	3.7	2006	04	04	09	10	45	MOS
375	45.7600	42.8300	33	3.7	2006	04	05	07	10	49	MOS
376	44.2900	42.7800	4	3.5	2006	04	06	08	15	17	MOS
377	44.3100	42.4100	9	3.5	2006	04	07	11	56	23	MOS
378	43.6990	42.8050	6	3.5	2006	04	07	17	35	33	MOS
379	44.6690	42.8230	8	3.5	2006	04	07	21	32	46	MOS
380	43.6700	42.3700	27	3.5	2006	04	08	19	35	27	MOS
381	44.9900	43.4300	19	3.5	2006	04	10	14	34	20	MOS
382	44.7890	43.3460	25	3.9	2006	04	10	17	09	14	MOS
383	43.4700	42.5800	16	3.5	2006	04	10	20	35	10	MOS
384	42.8000	43.7530	24	3.7	2006	04	10	22	37	55	MOS
385	45.7300	43.2900	77	3.6	2006	04	11	01	14	57	MOS
386	48.0430	42.6790	5	3.9	2006	04	14	23	49	22	MOS
387	45.7280	43.1370	15	3.9	2006	04	16	02	43	11	MOS
388	41.7940	42.9000	17	3.7	2006	04	17	02	30	14	MOS
389	42.7710	44.0740	8	3.7	2006	04	17	18	20	37	MOS
390	46.4380	42.9840	2	3.7	2006	04	21	05	35	16	MOS
391	45.4290	42.7650	57	3.8	2006	04	22	01	12	39	MOS
392	43.4400	42.5600	19	3.5	2006	04	22	16	35	05	MOS
393	43.9640	43.7670	33	3.5	2006	04	22	23	32	45	MOS
394	43.5100	42.5700	21	3.5	2006	04	23	03	13	13	MOS
395	45.5160	43.1550	28	3.7	2006	04	23	21	10	04	MOS
396	43.5600	42.6200	22	3.5	2006	04	24	06	04	11	MOS
397	46.9100	41.6400	2	3.7	2006	04	24	09	25	03	MOS
398	44.5000	42.6600	1	3.5	2006	04	24	12	36	17	MOS
399	45.5300	42.4700	29	3.5	2006	04	24	17	48	17	MOS
400	45.5400	42.4000	43	3.7	2006	04	25	00	43	58	MOS
401	43.5300	42.6500	21	3.5	2006	04	26	23	53	37	MOS
402	45.7800	42.9800	24	3.7	2006	04	27	11	08	40	MOS
403	45.3100	42.8900	44	3.6	2006	04	27	22	28	05	MOS
404	45.0600	43.2200	31	3.5	2006	04	28	07	49	19	MOS
405	44.7310	43.5780	2	3.5	2006	04	29	15	44	32	MOS
406	47.0380	42.9350	16	3.8	2006	05	06	11	59	48	MOS
407	44.7000	43.3500	14	3.5	2006	05	12	20	55	13	MOS
